tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0236638,15,nm0592945,producer,unknown,4.1,2829,nm0217803,"nm0217803,nm0674659",movie,Promenons-nous dans les bois,0.0,2000.0,90.0,"Horror,Thriller",2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",Promenons-nous dans les bois,FR,fr,0
tt0236638,3,nm0120683,actress,Mathilde,4.1,2829,nm0217803,"nm0217803,nm0674659",movie,Promenons-nous dans les bois,0.0,2000.0,90.0,"Horror,Thriller",2000.0,Maud Buquet,,,actress,"tt0356336,tt0262429,tt0120273,tt0236638",Promenons-nous dans les bois,FR,fr,0
tt0236638,6,nm0496261,actor,Wilfried,4.1,2829,nm0217803,"nm0217803,nm0674659",movie,Promenons-nous dans les bois,0.0,2000.0,90.0,"Horror,Thriller",2000.0,Vincent Lecoeur,1974.0,,actor,"tt0176393,tt0469791,tt0229694,tt0236638",Promenons-nous dans les bois,FR,fr,0
tt0236638,2,nm0531204,actress,Pélagie,4.1,2829,nm0217803,"nm0217803,nm0674659",movie,Promenons-nous dans les bois,0.0,2000.0,90.0,"Horror,Thriller",2000.0,Suzanne MacAleese,,,actress,"tt0236638,tt0405139,tt4017528",Promenons-nous dans les bois,FR,fr,0
tt0283832,16,nm0592945,producer,unknown,7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",8 femmes,FR,fr,0
tt0283832,16,nm0592945,producer,unknown,7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",Huit Femmes,FR,fr,0
tt0283832,9,nm0484000,actor,"Marcel, the husband",7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Dominique Lamure,,,actor,"tt0283832,tt0091593,tt0113721,tt0239695",8 femmes,FR,fr,0
tt0283832,9,nm0484000,actor,"Marcel, the husband",7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Dominique Lamure,,,actor,"tt0283832,tt0091593,tt0113721,tt0239695",Huit Femmes,FR,fr,0
tt0283832,14,nm15597618,writer,unknown,7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Robert Thomas,,,writer,tt0283832,8 femmes,FR,fr,0
tt0283832,14,nm15597618,writer,unknown,7.0,34442,nm0654830,"nm0654830,nm0888418,nm0859436,nm15597618",movie,8 femmes,0.0,2002.0,111.0,"Comedy,Crime,Musical",2000.0,Robert Thomas,,,writer,tt0283832,Huit Femmes,FR,fr,0
tt0284457,16,nm0592945,producer,unknown,3.4,748,nm0311488,"nm0972375,nm1597688,nm0311488",movie,Samouraïs,0.0,2002.0,90.0,Action,2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",Samouraïs,FR,fr,0
tt0284457,13,nm1597688,writer,unknown,3.4,748,nm0311488,"nm0972375,nm1597688,nm0311488",movie,Samouraïs,0.0,2002.0,90.0,Action,2000.0,Matthieu Le Naour,,,writer,"tt0374627,tt0276830,tt5600326,tt0283957",Samouraïs,FR,fr,0
tt0284457,12,nm0972375,writer,unknown,3.4,748,nm0311488,"nm0972375,nm1597688,nm0311488",movie,Samouraïs,0.0,2002.0,90.0,Action,2000.0,Alexandre Coquelle,,,writer,"tt0374627,tt0276830,tt5600326,tt0283957",Samouraïs,FR,fr,0
tt0299556,18,nm0592945,producer,unknown,4.4,1265,nm1077275,"nm0443592,nm1077275",movie,Bloody Mallory,0.0,2002.0,94.0,"Action,Comedy,Horror",2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",Bloody Mallory,FR,fr,0
tt0299556,9,nm0059571,actress,Talking Tina,4.4,1265,nm1077275,"nm0443592,nm1077275",movie,Bloody Mallory,0.0,2002.0,94.0,"Action,Comedy,Horror",2000.0,Thylda Barès,,,actress,"tt0216890,tt2172132,tt0306654,tt0299556",Bloody Mallory,FR,fr,0
tt0299556,11,nm1050161,actor,L'Inspecteur Durand,4.4,1265,nm1077275,"nm0443592,nm1077275",movie,Bloody Mallory,0.0,2002.0,94.0,"Action,Comedy,Horror",2000.0,Thierry Perkins-Lyautey,1964.0,,actor,"tt0364800,tt0304391,tt0920470,tt0299556",Bloody Mallory,FR,fr,0
tt0299556,3,nm0722994,actor,Vena Cava,4.4,1265,nm1077275,"nm0443592,nm1077275",movie,Bloody Mallory,0.0,2002.0,94.0,"Action,Comedy,Horror",2000.0,Jeffrey Ribier,,,actor,"tt0103442,tt0299556,tt0113463,tt0167601",Bloody Mallory,FR,fr,0
tt0309832,16,nm0592945,producer,unknown,6.3,4553,nm0884659,"nm0153265,nm0536251,nm0169099",movie,Maléfique,0.0,2002.0,90.0,"Fantasy,Horror,Mystery",2000.0,Marc Missonnier,1970.0,,producer,"tt0283832,tt0324133,tt1458175,tt1191111",Maléfique,FR,fr,0
